AtmoSud

Conditions Générales d'utilisation: 

 Diffusion libre pour une réutilisation ultérieure des données dans les conditions ci-dessous : 
 – Toute utilisation partielle ou totale de ces données doit faire référence à AtmoSud en terme de "AtmoSud - Inventaire énergétique et d'émissions de polluants et gaz à effet de serre". 
 – Données non rediffusées en cas de modification ultérieure des données. 
 
 Les données contenues dans ce document restent la propriété d'AtmoSud.
 AtmoSud peut rediffuser ce document à d'autres destinataires. 

"Année","Entité administrative","Activité","Energie","Variable","Valeur","Unite"
"2007","ABRIÈS (05)","Tous secteurs","Toutes énergies","prg100.3ges","3509986.4","kg"
"2007","AIGLUN (04)","Tous secteurs","Toutes énergies","prg100.3ges","9428086.6","kg"
"2007","AIGLUN (06)","Tous secteurs","Toutes énergies","prg100.3ges","303085.4","kg"
"2007","AIGUILLES (05)","Tous secteurs","Toutes énergies","prg100.3ges","3517602.4","kg"
"2007","AIGUINES (83)","Tous secteurs","Toutes énergies","prg100.3ges","7928209.2","kg"
"2007","AIX-EN-PROVENCE (13)","Tous secteurs","Toutes énergies","prg100.3ges","861641986.6","kg"
"2007","ALLAUCH (13)","Tous secteurs","Toutes énergies","prg100.3ges","46534940.3","kg"
"2007","ALLEINS (13)","Tous secteurs","Toutes énergies","prg100.3ges","8627049.9","kg"
"2007","ALLEMAGNE-EN-PROVENCE (04)","Tous secteurs","Toutes énergies","prg100.3ges","4212382.0","kg"
"2007","ALLONS (04)","Tous secteurs","Toutes énergies","prg100.3ges","2214834.4","kg"
"2007","ALLOS (04)","Tous secteurs","Toutes énergies","prg100.3ges","7695888.3","kg"
"2007","ALTHEN-DES-PALUDS (84)","Tous secteurs","Toutes énergies","prg100.3ges","16876556.6","kg"
"2007","AMIRAT (06)","Tous secteurs","Toutes énergies","prg100.3ges","188955.4","kg"
"2007","AMPUS (83)","Tous secteurs","Toutes énergies","prg100.3ges","6933426.6","kg"
"2007","ANCELLE (05)","Tous secteurs","Toutes énergies","prg100.3ges","7760007.6","kg"
"2007","ANDON (06)","Tous secteurs","Toutes énergies","prg100.3ges","7492432.4","kg"
"2007","ANGLES (04)","Tous secteurs","Toutes énergies","prg100.3ges","770432.4","kg"
"2007","ANNOT (04)","Tous secteurs","Toutes énergies","prg100.3ges","4387698.6","kg"
"2007","ANSOUIS (84)","Tous secteurs","Toutes énergies","prg100.3ges","5569533.5","kg"
"2007","ANTIBES (06)","Tous secteurs","Toutes énergies","prg100.3ges","313022864.2","kg"
"2007","ANTIBES (06)","Tous secteurs","Toutes énergies","prg100.3ges","","Secret Stat"
"2007","APT (84)","Tous secteurs","Toutes énergies","prg100.3ges","49512720.0","kg"
"2007","APT (84)","Tous secteurs","Toutes énergies","prg100.3ges","","Secret Stat"
"2007","ARCHAIL (04)","Tous secteurs","Toutes énergies","prg100.3ges","90116.4","kg"
"2007","ARLES (13)","Tous secteurs","Toutes énergies","prg100.3ges","725020969.9","kg"
"2007","ARLES (13)","Tous secteurs","Toutes énergies","prg100.3ges","","Secret Stat"
